# ASSET SOURCES LIST
# If you add an outside asset, add a link to where it was found here.
# We'll resolve proper citations on an as-needed basis for the final deliverable.

SOUNDS                SOURCE
door_open.wav         https://opengameart.org/content/door-open-door-close
water_pour.wav        https://opengameart.org/content/running-water
cork_out.wav          https://freesound.org/people/Kyster/sounds/140615/
bottle_clink_0.wav    https://freesound.org/people/Fugeni/sounds/416288/
bottle_clink_1.wav    https://freesound.org/people/Fugeni/sounds/416288/
bottle_break.wav      https://opengameart.org/content/breaking-bottle
metal_ping_1.wav      https://opengameart.org/content/31-pings-and-metal-filing-sounds
metal_ping_2.wav      https://opengameart.org/content/31-pings-and-metal-filing-sounds
metal_ping_3.wav      https://opengameart.org/content/31-pings-and-metal-filing-sounds

IMAGES                SOURCE
old_paper.png         http://www.wildtextures.com/wp-content/uploads/2011/11/wildtextures-old-paper-texture-3.jpg
